datetime,121fad25495a747a_apcd.1020,1255097a8d1069dc_arb3.2015,2275481147c5c093_apcd.1021,27a9a690d3e5fea7_arb3.2067,3f17a85a8e1653c0_arb3.2001,7220aaf21ed7f3e4_apcd.1055,7c5c4524cabdf95d_arb3.2023,a56f36849142ff48_arb3.2019,c8f9f28ffb221422_arb3.2062,c9433af1b72dae1e_apcd.1019,cec6dc2148ab7bb3_arb3.2034,e7e2789cdae091ac_apcd.1029
2022-11-15T17:00:00Z,-5,-1.8,,,,7.8,-2.4,0.8,-1.8,,4.1,-5
2022-11-15T18:00:00Z,19,4.5,,-8.3,,4.9,1.7,3.6,-1.6,15,-0.1,3
2022-11-15T19:00:00Z,-5,1.3,,-7.8,8.1,1.4,3.1,2.6,6.9,2,7.6,-2
2022-11-15T20:00:00Z,-4,7.7,,-5,9.5,-0.3,0,2.3,2.2,-3,5.5,5
2022-11-15T21:00:00Z,-0,3.8,,2.1,5.9,-0.3,4.1,-1.4,3.4,3,4.1,-2
2022-11-15T22:00:00Z,2,3,,1.4,2.8,11.4,0.7,1,6.6,4,7.9,9
2022-11-15T23:00:00Z,11,-1,,2.3,3,0.4,-0.6,6.7,17.5,-5,6.9,6
2022-11-16T00:00:00Z,-5,1.5,,3.7,6.7,3.4,1.5,3.4,2.4,-3,4.8,1
2022-11-16T01:00:00Z,1,4.1,,10,-3.4,4.5,2.4,-0.5,1,2,1,13
2022-11-16T02:00:00Z,1,3.6,,,3,,-1,2.6,9.6,-3,-4.8,-1
2022-11-16T03:00:00Z,6,6,,,,,1.6,1.1,9.3,8,2.6,4
2022-11-16T04:00:00Z,3,4.4,,,,7.4,-0.2,6.1,16.6,16,1.9,1
2022-11-16T05:00:00Z,14,4.8,,,,5.4,0,-2.2,19.9,24,4.2,5
2022-11-16T06:00:00Z,14,6,,,,5.2,1,0.1,9.2,12,-1.2,6
2022-11-16T07:00:00Z,10,4.8,,,,5.5,-0.5,0.5,13.4,20,-0.5,-1
2022-11-16T08:00:00Z,-5,7.5,,,,3.8,1.7,1.3,6.3,2,8.9,6
2022-11-16T09:00:00Z,14,,,,,5.5,-2.1,-0.7,3.6,8,6.4,-4
2022-11-16T10:00:00Z,1,,,,,3.2,-0.4,-3.9,4.5,13,10.7,3
2022-11-16T11:00:00Z,2,,,11.3,,4.1,0.7,-1.6,1.8,10,8.9,1
2022-11-16T12:00:00Z,5,,,,,3.6,3.8,-3.3,-0.4,13,5,-2
2022-11-16T13:00:00Z,6,,,10,,1.9,3.5,-0.5,0.5,22,12.8,1
2022-11-16T14:00:00Z,4,,,,,3,0.3,-1,-0.4,13,13.5,9
2022-11-16T15:00:00Z,9,,,,,1.8,1.7,-7.7,0.5,18,1.7,-5
2022-11-16T16:00:00Z,-4,,,,,-2.2,0.9,5,-3.8,33,1.7,-3
2022-11-16T17:00:00Z,-3,,,,,9.3,2.6,1,-6.3,-1,1.9,2
2022-11-16T18:00:00Z,16,6.9,,-1.4,,3,0.7,-0.4,-0.6,32,-3.6,1
2022-11-16T19:00:00Z,-4,1.4,,-4.4,-0.6,0.1,0.1,-0.3,2.5,-2,2.9,7
2022-11-16T20:00:00Z,-0,2.5,,-7.7,4.7,-2.6,0.4,0.9,4.9,-1,1.7,2
2022-11-16T21:00:00Z,6,3.6,,8.3,11.7,-1.9,,3.6,1.7,8,0.1,2
2022-11-16T22:00:00Z,3,1.9,,13.8,2.6,9.1,,-1.1,4.5,1,3.5,4
2022-11-16T23:00:00Z,6,1.8,,8.5,6.3,-2,,3.3,14.6,-5,6.7,10
2022-11-17T00:00:00Z,-5,-3.2,,15.5,7,5.1,,3.6,0.9,5,5.8,14
2022-11-17T01:00:00Z,1,-1,,38.4,0,0.3,,2.7,2.3,-3,4.3,7
2022-11-17T02:00:00Z,6,2.6,,,,,,-0.9,7.7,-3,-2.4,24
2022-11-17T03:00:00Z,4,6.1,,,,,,-0.9,14.9,-0,2,19
2022-11-17T04:00:00Z,10,7.4,,,,4.8,,-2.1,7.9,24,1.5,33
2022-11-17T05:00:00Z,18,4.3,,,,8.7,,-4.1,17,18,-0.9,29
2022-11-17T06:00:00Z,20,3.3,,,,5.4,,-0.1,39.6,16,-1,38
2022-11-17T07:00:00Z,14,4.5,,,,2.7,,-1.1,22.8,10,1.4,
2022-11-17T08:00:00Z,5,,,,,8.2,,-3.3,8.4,4,3.1,30
2022-11-17T09:00:00Z,9,,,,,6,,1.1,9.5,11,-0.3,
2022-11-17T10:00:00Z,9,,,,,4.6,,-2.2,3.9,7,0.8,
2022-11-17T11:00:00Z,7,,,,,7.6,,-3.4,4.5,10,2.9,
2022-11-17T12:00:00Z,4,,,,,7.7,,-5.9,2.1,4,1.7,
2022-11-17T13:00:00Z,11,,,,,9.1,,-2.9,1.8,5,0.2,
